tag,graph,ratio,seed,test_auc_mean,test_auc_std,test_auc_pr_mean,test_auc_pr_std,test_prevalence_mean,test_prevalence_std,test_p_at_k_mean,test_p_at_k_std,f75_precision_mean,f75_precision_std,f75_recall_mean,f75_recall_std,f75_f1_mean,f75_f1_std,cal_precision_mean,cal_precision_std,cal_recall_mean,cal_recall_std,cal_f1_mean,cal_f1_std,cal_threshold_mean,cal_threshold_std
v0_leaky,leaky,100,0,0.6536443071491614,0.10686585865701974,0.0772231392388846,0.06328561196917162,0.009900798049213034,0.0004595592886701366,0.10818181818181818,0.07415888930652365,0.06666666666666667,0.1405456737852613,0.030000000000000006,0.0674948557710553,0.04038461538461539,0.08810313871040344,0.06833333333333333,0.09507956382309568,0.049090909090909095,0.07005179770569643,0.056746031746031746,0.07993183877164536,0.42200000000000004,0.11754904413808641
v0_leaky,leaky,100,1,0.6055066195939982,0.07655616624728358,0.08764544301438419,0.06003385482680422,0.009900798049213034,0.0004595592886701366,0.11636363636363638,0.06162775184914503,0.16999999999999998,0.23593784492248518,0.05,0.07071067811865477,0.07523809523809523,0.10454041039180917,0.1280952380952381,0.16249038190812412,0.0881818181818182,0.08517793184541342,0.09549923195084485,0.10469686817486128,0.4330000000000001,0.10914312723310723
v0_leaky,leaky,100,2,0.6428349514563106,0.06289656834349569,0.10289028735890385,0.07196394075969186,0.009900798049213034,0.0004595592886701366,0.11727272727272728,0.09054979503612122,0.15333333333333332,0.31902629637347735,0.0390909090909091,0.06910818497462284,0.06095238095238096,0.11162692064618804,0.20087662337662335,0.19403293060682053,0.08818181818181818,0.05653769149998012,0.11745457157221866,0.0854511512348664,0.40700000000000003,0.0808359106118342
v0_leaky,leaky,100,3,0.6709205648720212,0.11255973941198612,0.11084856476219869,0.0793495266260898,0.009900798049213034,0.0004595592886701366,0.1090909090909091,0.0877219080371523,0.325,0.40909792362111924,0.06,0.0699205898780101,0.09913419913419913,0.11635997154035581,0.21595238095238095,0.29142020685163766,0.07999999999999999,0.06324555320336758,0.11188375350140056,0.0995203469893669,0.44700000000000006,0.1968106817336002
v0_leaky,leaky,100,4,0.6168826125330981,0.09790649324418989,0.1278290839615094,0.13398717022618753,0.009900798049213034,0.0004595592886701366,0.13636363636363638,0.14913278544683978,0.2,0.34960294939005054,0.04,0.06992058987801011,0.06341991341991342,0.10658717240767897,0.11468253968253968,0.17478796138089311,0.08,0.13165611772087665,0.09278588628433829,0.14843272877203614,0.5030000000000001,0.23939971224339904
mig,mig,1,0,0.7456528925619835,0.12149509418882713,0.76520649293556,0.11496424499368584,0.5,0.0,0.7109090909090908,0.11082792194581784,0.7366450216450217,0.11661941945142171,0.6990909090909091,0.15334950208199916,0.7128916921459659,0.12641971864208704,0.683535631035631,0.09619848923281994,0.759090909090909,0.1621849209287838,0.7153598092728527,0.11916829752754474,0.5920000000000001,0.10379466909881904
mig,mig,1,1,0.8214793388429753,0.05904995080794189,0.8648114606802336,0.04943169691938982,0.5,0.0,0.7663636363636364,0.07042439889410462,0.8208638583638583,0.12814349906237088,0.71,0.1191837867453323,0.7497248022015824,0.06363157173998787,0.7177552512846631,0.1283416289975997,0.7972727272727274,0.10584827230196674,0.7451328320802004,0.06858070715209139,0.5930000000000002,0.09753062197188239
mig,mig,1,2,0.7828842975206612,0.10572304659575082,0.7973754688567524,0.1118164843902876,0.5,0.0,0.719090909090909,0.1045739969820976,0.6930808080808081,0.11828873932023268,0.7009090909090909,0.1407346590601964,0.6952942633262998,0.12553270773555325,0.6552938727938729,0.08509417162562846,0.8081818181818182,0.142098273008222,0.7205067396371744,0.09729379309022175,0.38400000000000006,0.181854642808786
mig,mig,1,3,0.7113553719008264,0.11581237860795845,0.7667905979899013,0.10532147313775718,0.5,0.0,0.6699999999999999,0.10532646349254177,0.7168686868686869,0.1137834065483826,0.63,0.1562913857036883,0.6659651021493126,0.1306093128642903,0.6774572649572649,0.12290188665657842,0.7081818181818182,0.14573520901910444,0.6836438467938508,0.1044077294030448,0.5030000000000001,0.24975766032073754
mig,mig,1,4,0.7739256198347106,0.08039371099731377,0.8057450715622683,0.06683042965327608,0.5,0.0,0.7100000000000001,0.07291012367338266,0.7248917748917749,0.09638618365452335,0.6427272727272727,0.1496889950028961,0.6726521507986039,0.10017562594054329,0.6554434454434455,0.06156270576875819,0.8172727272727274,0.12063879561842643,0.7226665759869421,0.061360026808557885,0.5090000000000001,0.1418489023965682
mig,mig,2,0,0.738991341991342,0.11768736861502538,0.6871557773172602,0.14402929869682174,0.33323252688172045,0.008642788404869031,0.629090909090909,0.15574696343991104,0.6761904761904762,0.22144421632163447,0.5436363636363637,0.197774579270677,0.5712478825522302,0.1635199244800617,0.5856634593476698,0.196135682930094,0.6872727272727273,0.1527344875640733,0.6200771692076039,0.14179422103497544,0.5890000000000001,0.09060905032059438
mig,mig,2,1,0.7804935064935065,0.06490257949641559,0.7067848119104061,0.10911897371858408,0.33323252688172045,0.008642788404869031,0.6809090909090909,0.08500526640629046,0.6889194139194139,0.14594415810209574,0.46818181818181825,0.18112240608810432,0.5429121877583987,0.15659357147703523,0.6059523809523809,0.08722238671343573,0.6909090909090909,0.11101005505463155,0.6390261530993797,0.07165841667363389,0.5620000000000002,0.07067924416372574
